ID,Timestamp,Entity Type,Entity ID,Action,User ID,Severity,Category,IP Address
103ba58b-0ab5-4ec3-8287-20a152ece0b7,2025-08-26T11:56:07.000Z,admin_action,fa13b266-5857-488f-89dc-d4d174173426,create,,low,compliance,
37c96277-61e7-4d50-8076-7f98c523d955,2025-08-26T11:56:07.000Z,admin_action,78a77be2-39ce-4d2a-8ef7-15fcf147d885,create,,low,compliance,
873e7c9e-d96c-4440-8825-df55fd37e7eb,2025-08-26T11:52:49.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
359b5a02-4d2d-4c59-8f1d-130f67046c2f,2025-08-26T11:52:48.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
c5d089cb-ca1c-4540-96f3-12b7aa9521e6,2025-08-26T11:52:48.000Z,admin_action,d8a02cb8-05c8-4d7e-af8b-da39ed9926c4,create,,low,compliance,
03dae0aa-ba19-4de3-8ab5-f94351db8bc2,2025-08-26T11:52:47.000Z,admin_action,dd57607b-f46b-4526-b3c1-01c5a2d5f17a,create,,low,compliance,
86a56f37-e467-4b4b-8b88-482d73c2a76e,2025-08-26T11:52:47.000Z,admin_action,f0072deb-d5b7-4697-9ffc-f1105a0a4560,create,,low,compliance,
9bdb0979-cfcb-4227-845f-a359748b4834,2025-08-26T11:52:47.000Z,admin_action,45872a12-5b55-4a09-9957-d21cd880101d,create,,low,compliance,
2de685c2-8e4f-45ea-8976-82bdfe2b1930,2025-08-26T11:30:43.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
48437fd8-f132-4f75-8b1c-0c04178090b8,2025-08-26T11:30:43.000Z,admin_action,c11bcec9-e413-4d77-891b-adee4fa7d91b,create,,low,compliance,
4b4cc268-433e-41a5-95ad-a6ed8ec64c36,2025-08-26T11:30:43.000Z,admin_action,bdfd9107-a21b-4877-82eb-5aa86c9f06dd,create,,low,compliance,
d9a353c8-840b-44ef-b7b4-5ba61ae23732,2025-08-26T11:30:43.000Z,admin_action,936a15f4-b8e8-41b0-b12a-69fdd2c01013,create,,low,compliance,
dc99d1b1-4674-4f65-a5c5-d6919a8aa854,2025-08-26T11:30:43.000Z,admin_action,dc86ea6e-24a1-4618-97c4-eefb05ff5575,create,,low,compliance,
f24a5463-3410-4bee-a207-17bed18292a0,2025-08-26T11:30:43.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
1e0798ad-e58a-4c8a-ac01-8d07b40e92d3,2025-08-26T11:30:21.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
1cea5b12-dc78-441e-81d2-aabe15e072e3,2025-08-26T11:30:20.000Z,admin_action,78d835aa-b2f1-40b0-b15b-2d0a026088c8,create,,low,compliance,
